Copper Resistance (Ohms),Graphene Resistance (Ohms),Final Resistance (Ohms)
215580.0,2309672.520158538,168420.0694255877
211860.0,2308532.317749811,166123.30103366566
208270.0,2307395.0658219163,163890.71008716305
204800.0,2306260.75420316,161717.5845503735
201440.0,2305129.372765644,159599.01732488896
198190.0,2304000.911425041,157536.23236729208
195040.0,2302875.360140376,155524.07612592116
192000.0,2301752.7089137915,153570.01271949353
189040.0,2300632.9477903354,151655.89936378365
186180.0,2299516.066857736,149795.48732165713
183400.0,2298402.056246183,147976.77204201266
180700.0,2297290.906128108,146200.53400939493
178080.0,2296182.606717972,144467.54263261167
175540.0,2295077.1482720464,142778.5554003872
173070.0,2293974.521088198,141127.66773334853
170660.0,2292874.715505678,139508.8297390307
168330.0,2291777.7219049134,137935.99693917303
166050.0,2290683.5307072885,136389.63964173166
163840.0,2289592.132374943,134883.7289232094
161680.0,2288503.5174105605,133405.24364311554
159580.0,2287417.676357164,131961.42646278575
157540.0,2286334.599797908,130552.76548535671
155540.0,2285254.2783558764,129165.94818707989
153600.0,2284176.70269388,127815.12542145124
151700.0,2283101.8635142506,126486.85887993856
149850.0,2282029.7515586447,125188.42185586515
148050.0,2280960.3576078448,123920.18547104925
146280.0,2279893.6724815555,122668.45031061588
144560.0,2278829.687038209,121447.53662352658
142880.0,2277768.392174776,120250.71634233798
141240.0,2276709.7788265594,119078.26364631283
139630.0,2275653.8379670097,117923.31633953692
138070.0,2274600.560607527,116800.38155314366
136530.0,2273549.9377972726,115688.25339102189
135030.0,2272501.9606229775,114601.45692681512
133560.0,2271456.6202087565,113533.0221893298
132130.0,2270413.907715915,112490.3817481809
130720.0,2269373.814342764,111459.24331761351
129350.0,2268336.3313244376,110454.30440478367
128000.0,2267301.4499327047,109461.18013051756
126680.0,2266269.161475786,108487.31567540979
125390.0,2265239.457298172,107532.88353906068
124120.0,2264212.3287804406,106590.67880691212
122880.0,2263187.7673390806,105668.20378667895
121660.0,2262165.7644263045,104758.20969918794
120470.0,2261146.3115298795,103868.23533680338
119300.0,2260129.4001729414,102990.98910914465
118150.0,2259115.021913827,102126.57332078392
117030.0,2258103.1683458905,101282.57922699225
115920.0,2257093.8310973346,100444.1453786227
114840.0,2256087.001831037,99626.36842393207
113780.0,2255082.672244377,98821.8556211311
112730.0,2254080.834069061,98023.14213663511
111710.0,2253081.479070961,97245.4276098651
1097100.0,2252084.599049934,445713.61944490374
1005700.0,2251090.185839668,429734.18195571844
928340.0,2250098.2313074977,414857.42659702693
862030.0,2249108.727354252,400976.11402666534
804560.0,2248121.665914084,387993.50490454136
754270.0,2247137.038954302,375824.38102533907
709900.0,2246154.8384752166,364396.3016810635
670460.0,2245175.056509966,353642.80466323794
635180.0,2244197.685124364,343508.3356587089
603420.0,2243222.7164167347,333936.4063544765
574680.0,2242250.142517752,324882.0095355226
548560.0,2241279.955590285,316308.00072183786
524710.0,2240312.147829236,308174.60103738966
502850.0,2239346.711461385,300449.98049566965
482730.0,2238383.6387452334,293100.05436355766
