Ncht,Nchb,Nchl,Nchr,Lg
3.126912691269126867e+02,3.126912691269126867e+02,1.222562256225622512e+01,1.222562256225622512e+01,1.376979935460976574e-06
3.129612961296129470e+02,3.129612961296129470e+02,1.223042304230423127e+01,1.223042304230423127e+01,1.376415098992300995e-06
3.132313231323132072e+02,3.132313231323132072e+02,1.223522352235223387e+01,1.223522352235223387e+01,1.375850747746254434e-06
3.135013501350135243e+02,3.135013501350135243e+02,1.224002400240023825e+01,1.224002400240023825e+01,1.375286881043454633e-06
3.137713771377137846e+02,3.137713771377137846e+02,1.224482448244824440e+01,1.224482448244824440e+01,1.374723498205959291e-06
3.140414041404140448e+02,3.140414041404140448e+02,1.224962496249624877e+01,1.224962496249624877e+01,1.374160598557260769e-06
3.143114311431143051e+02,3.143114311431143051e+02,1.225442544254425492e+01,1.225442544254425492e+01,1.373598181422279313e-06
3.145814581458145653e+02,3.145814581458145653e+02,1.225922592259226107e+01,1.225922592259226107e+01,1.373036246127362209e-06
3.148514851485148824e+02,3.148514851485148824e+02,1.226402640264026367e+01,1.226402640264026367e+01,1.372474792000277853e-06
3.151215121512151427e+02,3.151215121512151427e+02,1.226882688268826982e+01,1.226882688268826982e+01,1.371913818370210030e-06
3.153915391539154029e+02,3.153915391539154029e+02,1.227362736273627242e+01,1.227362736273627242e+01,1.371353324567756227e-06
3.156615661566156632e+02,3.156615661566156632e+02,1.227842784278427857e+01,1.227842784278427857e+01,1.370793309924921062e-06
3.159315931593159235e+02,3.159315931593159235e+02,1.228322832283228472e+01,1.228322832283228472e+01,1.370233773775113745e-06
3.162016201620162406e+02,3.162016201620162406e+02,1.228802880288028732e+01,1.228802880288028732e+01,1.369674715453142575e-06
3.164716471647165008e+02,3.164716471647165008e+02,1.229282928292829347e+01,1.229282928292829347e+01,1.369116134295210701e-06
3.167416741674167611e+02,3.167416741674167611e+02,1.229762976297629784e+01,1.229762976297629784e+01,1.368558029638913158e-06
3.170117011701170213e+02,3.170117011701170213e+02,1.230243024302430221e+01,1.230243024302430221e+01,1.368000400823231152e-06
3.172817281728172247e+02,3.172817281728172247e+02,1.230723072307230836e+01,1.230723072307230836e+01,1.367443247188528246e-06
3.175517551755174850e+02,3.175517551755174850e+02,1.231203120312031096e+01,1.231203120312031096e+01,1.366886568076547821e-06
3.178217821782178021e+02,3.178217821782178021e+02,1.231683168316831534e+01,1.231683168316831534e+01,1.366330362830405237e-06
3.180918091809180623e+02,3.180918091809180623e+02,1.232163216321632149e+01,1.232163216321632149e+01,1.365774630794587202e-06
3.183618361836183226e+02,3.183618361836183226e+02,1.232643264326432586e+01,1.232643264326432586e+01,1.365219371314947112e-06
3.186318631863185828e+02,3.186318631863185828e+02,1.233123312331233201e+01,1.233123312331233201e+01,1.364664583738698062e-06
3.189018901890188431e+02,3.189018901890188431e+02,1.233603360336033816e+01,1.233603360336033816e+01,1.364110267414412848e-06
3.191719171917191602e+02,3.191719171917191602e+02,1.234083408340834076e+01,1.234083408340834076e+01,1.363556421692017397e-06
3.194419441944194205e+02,3.194419441944194205e+02,1.234563456345634513e+01,1.234563456345634513e+01,1.363003045922786118e-06
3.197119711971196807e+02,3.197119711971196807e+02,1.235043504350434951e+01,1.235043504350434951e+01,1.362450139459340411e-06
3.199819981998199410e+02,3.199819981998199410e+02,1.235523552355235566e+01,1.235523552355235566e+01,1.361897701655641258e-06
3.202520252025202012e+02,3.202520252025202012e+02,1.236003600360036181e+01,1.236003600360036181e+01,1.361345731866989225e-06
3.205220522052205183e+02,3.205220522052205183e+02,1.236483648364836441e+01,1.236483648364836441e+01,1.360794229450017685e-06
