Length (nm), Thickness (nm), Width (nm), Inductance (H)
51.515152, 40.000000, 130.000000, 1.450449424175e-07
51.515152, 40.000000, 140.000000, 1.421544361201e-07
51.515152, 50.000000, 50.000000, 1.913823573358e-07
51.515152, 50.000000, 60.000000, 1.808614978455e-07
51.515152, 50.000000, 70.000000, 1.720003989182e-07
51.515152, 50.000000, 80.000000, 1.645330338541e-07
51.515152, 50.000000, 90.000000, 1.582526158939e-07
51.515152, 50.000000, 100.000000, 1.529952180671e-07
51.515152, 50.000000, 110.000000, 1.486286903102e-07
51.515152, 50.000000, 120.000000, 1.450449424175e-07
51.515152, 50.000000, 130.000000, 1.421544361201e-07
51.515152, 50.000000, 140.000000, 1.398821683366e-07
51.515152, 60.000000, 50.000000, 1.808614978455e-07
51.515152, 60.000000, 60.000000, 1.720003989182e-07
51.515152, 60.000000, 70.000000, 1.645330338541e-07
51.515152, 60.000000, 80.000000, 1.582526158939e-07
51.515152, 60.000000, 90.000000, 1.529952180671e-07
51.515152, 60.000000, 100.000000, 1.486286903102e-07
51.515152, 60.000000, 110.000000, 1.450449424175e-07
51.515152, 60.000000, 120.000000, 1.421544361201e-07
51.515152, 60.000000, 130.000000, 1.398821683366e-07
51.515152, 60.000000, 140.000000, 1.381646859297e-07
51.515152, 70.000000, 50.000000, 1.720003989182e-07
51.515152, 70.000000, 60.000000, 1.645330338541e-07
51.515152, 70.000000, 70.000000, 1.582526158939e-07
51.515152, 70.000000, 80.000000, 1.529952180671e-07
51.515152, 70.000000, 90.000000, 1.486286903102e-07
51.515152, 70.000000, 100.000000, 1.450449424175e-07
51.515152, 70.000000, 110.000000, 1.421544361201e-07
51.515152, 70.000000, 120.000000, 1.398821683366e-07
51.515152, 70.000000, 130.000000, 1.381646859297e-07
51.515152, 70.000000, 140.000000, 1.369478295664e-07
51.515152, 80.000000, 50.000000, 1.645330338541e-07
51.515152, 80.000000, 60.000000, 1.582526158939e-07
51.515152, 80.000000, 70.000000, 1.529952180671e-07
51.515152, 80.000000, 80.000000, 1.486286903102e-07
51.515152, 80.000000, 90.000000, 1.450449424175e-07
51.515152, 80.000000, 100.000000, 1.421544361201e-07
51.515152, 80.000000, 110.000000, 1.398821683366e-07
51.515152, 80.000000, 120.000000, 1.381646859297e-07
51.515152, 80.000000, 130.000000, 1.369478295664e-07
51.515152, 80.000000, 140.000000, 1.361850029100e-07
51.515152, 90.000000, 50.000000, 1.582526158939e-07
51.515152, 90.000000, 60.000000, 1.529952180671e-07
51.515152, 90.000000, 70.000000, 1.486286903102e-07
51.515152, 90.000000, 80.000000, 1.450449424175e-07
51.515152, 90.000000, 90.000000, 1.421544361201e-07
51.515152, 90.000000, 100.000000, 1.398821683366e-07
51.515152, 90.000000, 110.000000, 1.381646859297e-07
51.515152, 90.000000, 120.000000, 1.369478295664e-07
51.515152, 90.000000, 130.000000, 1.361850029100e-07
51.515152, 90.000000, 140.000000, 1.358358268664e-07
51.515152, 100.000000, 50.000000, 1.529952180671e-07
51.515152, 100.000000, 60.000000, 1.486286903102e-07
51.515152, 100.000000, 70.000000, 1.450449424175e-07
51.515152, 100.000000, 80.000000, 1.421544361201e-07
51.515152, 100.000000, 90.000000, 1.398821683366e-07
51.515152, 100.000000, 100.000000, 1.381646859297e-07
51.515152, 100.000000, 110.000000, 1.369478295664e-07
51.515152, 100.000000, 120.000000, 1.361850029100e-07
51.515152, 100.000000, 130.000000, 1.358358268664e-07
51.515152, 100.000000, 140.000000, 1.358650804533e-07
53.030303, 10.000000, 50.000000, 2.637160819006e-07
53.030303, 10.000000, 60.000000, 2.411830887923e-07
53.030303, 10.000000, 70.000000, 2.227739531246e-07
53.030303, 10.000000, 80.000000, 2.075144888504e-07
53.030303, 10.000000, 90.000000, 1.947395285760e-07
