Wgr,Rgrr,Rgrt,Rgrb,Rgrl,Rgr
6.933799999999790151e-07,8.109235409030294418e+07,3.568063579973329324e+06,3.568063579973329324e+06,8.109235409030294418e+07,1.708842710715196095e+06
6.935599999999790075e-07,8.109088671025320888e+07,3.567999015251140576e+06,3.567999015251140576e+06,8.109088671025320888e+07,1.708811788913381519e+06
6.937399999999789998e-07,8.108942047227291763e+07,3.567934500780007802e+06,3.567934500780007802e+06,8.108942047227291763e+07,1.708780891178164631e+06
6.939199999999789922e-07,8.108795537517717481e+07,3.567870036507795565e+06,3.567870036507795565e+06,8.108795537517717481e+07,1.708750017484576209e+06
6.940999999999789845e-07,8.108649141778269410e+07,3.567805622382437810e+06,3.567805622382437810e+06,8.108649141778269410e+07,1.708719167807680788e+06
6.942799999999789769e-07,8.108502859890763462e+07,3.567741258351935539e+06,3.567741258351935539e+06,8.108502859890763462e+07,1.708688342122574570e+06
6.944599999999789692e-07,8.108356691737174988e+07,3.567676944364356343e+06,3.567676944364356343e+06,8.108356691737174988e+07,1.708657540404385189e+06
6.946399999999789616e-07,8.108210637199628353e+07,3.567612680367836263e+06,3.567612680367836263e+06,8.108210637199628353e+07,1.708626762628274504e+06
6.948199999999789539e-07,8.108064696160404384e+07,3.567548466310577467e+06,3.567548466310577467e+06,8.108064696160404384e+07,1.708596008769433480e+06
6.949999999999789463e-07,8.107918868501934409e+07,3.567484302140850574e+06,3.567484302140850574e+06,8.107918868501934409e+07,1.708565278803089401e+06
6.951799999999789386e-07,8.107773154106797278e+07,3.567420187806989998e+06,3.567420187806989998e+06,8.107773154106797278e+07,1.708534572704497026e+06
6.953599999999789309e-07,8.107627552857732773e+07,3.567356123257401865e+06,3.567356123257401865e+06,8.107627552857732773e+07,1.708503890448947204e+06
6.955399999999789233e-07,8.107482064637626708e+07,3.567292108440555166e+06,3.567292108440555166e+06,8.107482064637626708e+07,1.708473232011759887e+06
6.957199999999789156e-07,8.107336689329518378e+07,3.567228143304987345e+06,3.567228143304987345e+06,8.107336689329518378e+07,1.708442597368288785e+06
6.958999999999789080e-07,8.107191426816594601e+07,3.567164227799301036e+06,3.567164227799301036e+06,8.107191426816594601e+07,1.708411986493917881e+06
6.960799999999789003e-07,8.107046276982198656e+07,3.567100361872166861e+06,3.567100361872166861e+06,8.107046276982198656e+07,1.708381399364064680e+06
6.962599999999788927e-07,8.106901239709822834e+07,3.567036545472321101e+06,3.567036545472321101e+06,8.106901239709822834e+07,1.708350835954176495e+06
6.964399999999788850e-07,8.106756314883105457e+07,3.566972778548565693e+06,3.566972778548565693e+06,8.106756314883105457e+07,1.708320296239734162e+06
6.966199999999788774e-07,8.106611502385841310e+07,3.566909061049770098e+06,3.566909061049770098e+06,8.106611502385841310e+07,1.708289780196249718e+06
6.967999999999788697e-07,8.106466802101974189e+07,3.566845392924868036e+06,3.566845392924868036e+06,8.106466802101974189e+07,1.708259287799266400e+06
6.969799999999788621e-07,8.106322213915593922e+07,3.566781774122861214e+06,3.566781774122861214e+06,8.106322213915593922e+07,1.708228819024359109e+06
6.971599999999788544e-07,8.106177737710945308e+07,3.566718204592815600e+06,3.566718204592815600e+06,8.106177737710945308e+07,1.708198373847134179e+06
6.973399999999788468e-07,8.106033373372417688e+07,3.566654684283862822e+06,3.566654684283862822e+06,8.106033373372417688e+07,1.708167952243229141e+06
6.975199999999788391e-07,8.105889120784550905e+07,3.566591213145202026e+06,3.566591213145202026e+06,8.105889120784550905e+07,1.708137554188315291e+06
6.976999999999788315e-07,8.105744979832035303e+07,3.566527791126094759e+06,3.566527791126094759e+06,8.105744979832035303e+07,1.708107179658091161e+06
6.978799999999788238e-07,8.105600950399708748e+07,3.566464418175871018e+06,3.566464418175871018e+06,8.105600950399708748e+07,1.708076828628290677e+06
6.980599999999788162e-07,8.105457032372556627e+07,3.566401094243924133e+06,3.566401094243924133e+06,8.105457032372556627e+07,1.708046501074676169e+06
6.982399999999788085e-07,8.105313225635716319e+07,3.566337819279714953e+06,3.566337819279714953e+06,8.105313225635716319e+07,1.708016196973043727e+06
6.984199999999788009e-07,8.105169530074469745e+07,3.566274593232766259e+06,3.566274593232766259e+06,8.105169530074469745e+07,1.707985916299217613e+06
6.985999999999787932e-07,8.105025945574246347e+07,3.566211416052667890e+06,3.566211416052667890e+06,8.105025945574246347e+07,1.707955659029055387e+06
6.987799999999787855e-07,8.104882472020624578e+07,3.566148287689074408e+06,3.566148287689074408e+06,8.104882472020624578e+07,1.707925425138445571e+06
6.989599999999787779e-07,8.104739109299330413e+07,3.566085208091705106e+06,3.566085208091705106e+06,8.104739109299330413e+07,1.707895214603307191e+06
6.991399999999787702e-07,8.104595857296237350e+07,3.566022177210344002e+06,3.566022177210344002e+06,8.104595857296237350e+07,1.707865027399590006e+06
6.993199999999787626e-07,8.104452715897363424e+07,3.565959194994839374e+06,3.565959194994839374e+06,8.104452715897363424e+07,1.707834863503275439e+06
6.994999999999787549e-07,8.104309684988874197e+07,3.565896261395104229e+06,3.565896261395104229e+06,8.104309684988874197e+07,1.707804722890375415e+06
6.996799999999787473e-07,8.104166764457082748e+07,3.565833376361115836e+06,3.565833376361115836e+06,8.104166764457082748e+07,1.707774605536932824e+06
6.998599999999787396e-07,8.104023954188446701e+07,3.565770539842916187e+06,3.565770539842916187e+06,8.104023954188446701e+07,1.707744511419021524e+06
7.000399999999787320e-07,8.103881254069571197e+07,3.565707751790611073e+06,3.565707751790611073e+06,8.103881254069571197e+07,1.707714440512744710e+06
7.002199999999787243e-07,8.103738663987208903e+07,3.565645012154371478e+06,3.565645012154371478e+06,8.103738663987208903e+07,1.707684392794239102e+06
7.003999999999787167e-07,8.103596183828252554e+07,3.565582320884430781e+06,3.565582320884430781e+06,8.103596183828252554e+07,1.707654368239669595e+06
7.005799999999787090e-07,8.103453813479745388e+07,3.565519677931087557e+06,3.565519677931087557e+06,8.103453813479745388e+07,1.707624366825233214e+06
7.007599999999787014e-07,8.103311552828872204e+07,3.565457083244702779e+06,3.565457083244702779e+06,8.103311552828872204e+07,1.707594388527156552e+06
7.009399999999786937e-07,8.103169401762962341e+07,3.565394536775702611e+06,3.565394536775702611e+06,8.103169401762962341e+07,1.707564433321696939e+06
7.011199999999786861e-07,8.103027360169495642e+07,3.565332038474577479e+06,3.565332038474577479e+06,8.103027360169495642e+07,1.707534501185142435e+06
7.012999999999786784e-07,8.102885427936087549e+07,3.565269588291878346e+06,3.565269588291878346e+06,8.102885427936087549e+07,1.707504592093811370e+06
7.014799999999786708e-07,8.102743604950506985e+07,3.565207186178222764e+06,3.565207186178222764e+06,8.102743604950506985e+07,1.707474706024053274e+06
7.016599999999786631e-07,8.102601891100658476e+07,3.565144832084289286e+06,3.565144832084289286e+06,8.102601891100658476e+07,1.707444842952245846e+06
7.018399999999786555e-07,8.102460286274595559e+07,3.565082525960821658e+06,3.565082525960821658e+06,8.102460286274595559e+07,1.707415002854799619e+06
7.020199999999786478e-07,8.102318790360513330e+07,3.565020267758625094e+06,3.565020267758625094e+06,8.102318790360513330e+07,1.707385185708153527e+06
7.021999999999786401e-07,8.102177403246748447e+07,3.564958057428568602e+06,3.564958057428568602e+06,8.102177403246748447e+07,1.707355391488778405e+06
7.023799999999786325e-07,8.102036124821786582e+07,3.564895894921585452e+06,3.564895894921585452e+06,8.102036124821786582e+07,1.707325620173173258e+06
7.025599999999786248e-07,8.101894954974249005e+07,3.564833780188668985e+06,3.564833780188668985e+06,8.101894954974249005e+07,1.707295871737868292e+06
7.027399999999786172e-07,8.101753893592903018e+07,3.564771713180876803e+06,3.564771713180876803e+06,8.101753893592903018e+07,1.707266146159423748e+06
7.029199999999786095e-07,8.101612940566658974e+07,3.564709693849329371e+06,3.564709693849329371e+06,8.101612940566658974e+07,1.707236443414429436e+06
7.030999999999786019e-07,8.101472095784570277e+07,3.564647722145210486e+06,3.564647722145210486e+06,8.101472095784570277e+07,1.707206763479506830e+06
7.032799999999785942e-07,8.101331359135828912e+07,3.564585798019764479e+06,3.564585798019764479e+06,8.101331359135828912e+07,1.707177106331305113e+06
7.034599999999785866e-07,8.101190730509771407e+07,3.564523921424298547e+06,3.564523921424298547e+06,8.101190730509771407e+07,1.707147471946503269e+06
7.036399999999785789e-07,8.101050209795871377e+07,3.564462092310182750e+06,3.564462092310182750e+06,8.101050209795871377e+07,1.707117860301811481e+06
7.038199999999785713e-07,8.100909796883751452e+07,3.564400310628850013e+06,3.564400310628850013e+06,8.100909796883751452e+07,1.707088271373970434e+06
7.039999999999785636e-07,8.100769491663169861e+07,3.564338576331794262e+06,3.564338576331794262e+06,8.100769491663169861e+07,1.707058705139748519e+06
7.041799999999785560e-07,8.100629294024024904e+07,3.564276889370570425e+06,3.564276889370570425e+06,8.100629294024024904e+07,1.707029161575943697e+06
7.043599999999785483e-07,8.100489203856360912e+07,3.564215249696798157e+06,3.564215249696798157e+06,8.100489203856360912e+07,1.706999640659386059e+06
7.045399999999785407e-07,8.100349221050354838e+07,3.564153657262155786e+06,3.564153657262155786e+06,8.100349221050354838e+07,1.706970142366932705e+06
7.047199999999785330e-07,8.100209345496334136e+07,3.564092112018386368e+06,3.564092112018386368e+06,8.100209345496334136e+07,1.706940666675472399e+06
7.048999999999785254e-07,8.100069577084755898e+07,3.564030613917291630e+06,3.564030613917291630e+06,8.100069577084755898e+07,1.706911213561921148e+06
7.050799999999785177e-07,8.099929915706221759e+07,3.563969162910737097e+06,3.563969162910737097e+06,8.099929915706221759e+07,1.706881783003226388e+06
7.052599999999785101e-07,8.099790361251476407e+07,3.563907758950648829e+06,3.563907758950648829e+06,8.099790361251476407e+07,1.706852374976364430e+06
7.054399999999785024e-07,8.099650913611397147e+07,3.563846401989014354e+06,3.563846401989014354e+06,8.099650913611397147e+07,1.706822989458340220e+06
7.056199999999784947e-07,8.099511572677004337e+07,3.563785091977881268e+06,3.563785091977881268e+06,8.099511572677004337e+07,1.706793626426188508e+06
7.057999999999784871e-07,8.099372338339456916e+07,3.563723828869360965e+06,3.563723828869360965e+06,8.099372338339456916e+07,1.706764285856973613e+06
7.059799999999784794e-07,8.099233210490052402e+07,3.563662612615622580e+06,3.563662612615622580e+06,8.099233210490052402e+07,1.706734967727788491e+06
7.061599999999784718e-07,8.099094189020225406e+07,3.563601443168898579e+06,3.563601443168898579e+06,8.099094189020225406e+07,1.706705672015755903e+06
7.063399999999784641e-07,8.098955273821552098e+07,3.563540320481482428e+06,3.563540320481482428e+06,8.098955273821552098e+07,1.706676398698027711e+06
7.065199999999784565e-07,8.098816464785742760e+07,3.563479244505726267e+06,3.563479244505726267e+06,8.098816464785742760e+07,1.706647147751784418e+06
7.066999999999784488e-07,8.098677761804649234e+07,3.563418215194045100e+06,3.563418215194045100e+06,8.098677761804649234e+07,1.706617919154236326e+06
7.068799999999784412e-07,8.098539164770258963e+07,3.563357232498913538e+06,3.563357232498913538e+06,8.098539164770258963e+07,1.706588712882621214e+06
7.070599999999784335e-07,8.098400673574694991e+07,3.563296296372865327e+06,3.563296296372865327e+06,8.098400673574694991e+07,1.706559528914207593e+06
7.072399999999784259e-07,8.098262288110224903e+07,3.563235406768498011e+06,3.563235406768498011e+06,8.098262288110224903e+07,1.706530367226292379e+06
7.074199999999784182e-07,8.098124008269242942e+07,3.563174563638466410e+06,3.563174563638466410e+06,8.098124008269242942e+07,1.706501227796200197e+06
7.075999999999784106e-07,8.097985833944287896e+07,3.563113766935486346e+06,3.563113766935486346e+06,8.097985833944287896e+07,1.706472110601286869e+06
7.077799999999784029e-07,8.097847765028032660e+07,3.563053016612334177e+06,3.563053016612334177e+06,8.097847765028032660e+07,1.706443015618933830e+06
7.079599999999783953e-07,8.097709801413288713e+07,3.562992312621846795e+06,3.562992312621846795e+06,8.097709801413288713e+07,1.706413942826554878e+06
7.081399999999783876e-07,8.097571942992998660e+07,3.562931654916919302e+06,3.562931654916919302e+06,8.097571942992998660e+07,1.706384892201589420e+06
7.083199999999783800e-07,8.097434189660248160e+07,3.562871043450508267e+06,3.562871043450508267e+06,8.097434189660248160e+07,1.706355863721507834e+06
7.084999999999783723e-07,8.097296541308249533e+07,3.562810478175629396e+06,3.562810478175629396e+06,8.097296541308249533e+07,1.706326857363807270e+06
7.086799999999783647e-07,8.097158997830361128e+07,3.562749959045358468e+06,3.562749959045358468e+06,8.097158997830361128e+07,1.706297873106014682e+06
7.088599999999783570e-07,8.097021559120067954e+07,3.562689486012829468e+06,3.562689486012829468e+06,8.097021559120067954e+07,1.706268910925684730e+06
7.090399999999783493e-07,8.096884225070995092e+07,3.562629059031237382e+06,3.562629059031237382e+06,8.096884225070995092e+07,1.706239970800401177e+06
7.092199999999783417e-07,8.096746995576901734e+07,3.562568678053836338e+06,3.562568678053836338e+06,8.096746995576901734e+07,1.706211052707776427e+06
7.093999999999783340e-07,8.096609870531679690e+07,3.562508343033938669e+06,3.562508343033938669e+06,8.096609870531679690e+07,1.706182156625449890e+06
