Copper Inductance (H),Graphene Inductance (H),Final Inductance (H)
1.353121912493048e-06,1.509069783784e-07,1.3576570266121343e-07
1.3525773443419234e-06,1.467992741509e-07,1.3242661645740254e-07
1.3520332334467528e-06,1.434743497876e-07,1.2970986655946725e-07
1.3514895791862404e-06,1.408426670196e-07,1.2755028061997127e-07
1.3509463809403567e-06,1.388292227655e-07,1.2589200386774834e-07
1.3504036380903296e-06,1.37370563888e-07,1.2468673606129464e-07
1.3498613500186457e-06,1.364125310541e-07,1.2389237654855566e-07
1.3493195161090451e-06,1.359085279271e-07,1.234719677385948e-07
1.3487781357465163e-06,1.35818175413e-07,1.233928604409393e-07
1.3482372083172928e-06,1.361062525292e-07,1.236260466562426e-07
1.347696733208852e-06,2.593827762067e-07,2.175183729842592e-07
1.3471567098099083e-06,2.370938167118e-07,2.0161112190949004e-07
1.3466171375104127e-06,2.189287146575e-07,1.8831333406343207e-07
1.3460780157015458e-06,2.039132839968e-07,1.7708692219821964e-07
1.3455393437757168e-06,1.913823573358e-07,1.6755082013197324e-07
1.3450011211265588e-06,1.808614978455e-07,1.5942386578334592e-07
1.344463347148926e-06,1.720003989182e-07,1.5249176423784913e-07
1.3439260212388896e-06,1.645330338541e-07,1.4658682633999176e-07
1.3433891427937348e-06,1.582526158939e-07,1.4157494274557902e-07
1.3428527112119551e-06,1.529952180671e-07,1.3734687822370355e-07
1.342316725893253e-06,2.370938167118e-07,2.0150238788022396e-07
1.3417811862385327e-06,2.189287146575e-07,1.8821847050894447e-07
1.3412460916498974e-06,2.039132839968e-07,1.7700303250707466e-07
1.340711441530649e-06,1.913823573358e-07,1.6747572268555388e-07
1.34017723528528e-06,1.808614978455e-07,1.5935587758059825e-07
1.339643472319473e-06,1.720003989182e-07,1.524295609775165e-07
1.3391101520400973e-06,1.645330338541e-07,1.4652934821698154e-07
1.338577273855203e-06,1.582526158939e-07,1.41521328919493e-07
1.3380448371740209e-06,1.529952180671e-07,1.3729641999046874e-07
1.3375128414069572e-06,1.486286903102e-07,1.337643674231322e-07
1.33698128596559e-06,2.189287146575e-07,1.8812373102580486e-07
1.336450170262668e-06,2.039132839968e-07,1.7691924744303772e-07
1.3359194937121047e-06,1.913823573358e-07,1.674007150204467e-07
1.335389255728975e-06,1.808614978455e-07,1.5928796765875235e-07
1.3348594557295155e-06,1.720003989182e-07,1.523674269886795e-07
1.3343300931311163e-06,1.645330338541e-07,1.464719322485887e-07
1.3338011673523212e-06,1.582526158939e-07,1.4146777159507391e-07
1.3332726778128244e-06,1.529952180671e-07,1.3724601375723944e-07
1.3327446239334633e-06,1.486286903102e-07,1.337165224110476e-07
1.3322170051362212e-06,1.450449424175e-07,1.308037068967896e-07
