Ncht,Nchb,Nchl,Nchr,Cg
3.180918091809180623e+02,3.180918091809180623e+02,1.232163216321632149e+01,1.232163216321632149e+01,1.274663830341640388e-11
3.183618361836183226e+02,3.183618361836183226e+02,1.232643264326432586e+01,1.232643264326432586e+01,1.275724055526239036e-11
3.186318631863185828e+02,3.186318631863185828e+02,1.233123312331233201e+01,1.233123312331233201e+01,1.276784280710838331e-11
3.189018901890188431e+02,3.189018901890188431e+02,1.233603360336033816e+01,1.233603360336033816e+01,1.277844505895437140e-11
3.191719171917191602e+02,3.191719171917191602e+02,1.234083408340834076e+01,1.234083408340834076e+01,1.278904731080036758e-11
3.194419441944194205e+02,3.194419441944194205e+02,1.234563456345634513e+01,1.234563456345634513e+01,1.279964956264635406e-11
3.197119711971196807e+02,3.197119711971196807e+02,1.235043504350434951e+01,1.235043504350434951e+01,1.281025181449234216e-11
3.199819981998199410e+02,3.199819981998199410e+02,1.235523552355235566e+01,1.235523552355235566e+01,1.282085406633833510e-11
3.202520252025202012e+02,3.202520252025202012e+02,1.236003600360036181e+01,1.236003600360036181e+01,1.283145631818432320e-11
3.205220522052205183e+02,3.205220522052205183e+02,1.236483648364836441e+01,1.236483648364836441e+01,1.284205857003031129e-11
3.207920792079207786e+02,3.207920792079207786e+02,1.236963696369637056e+01,1.236963696369637056e+01,1.285266082187630262e-11
3.210621062106210388e+02,3.210621062106210388e+02,1.237443744374437493e+01,1.237443744374437493e+01,1.286326307372229072e-11
3.213321332133212991e+02,3.213321332133212991e+02,1.237923792379237753e+01,1.237923792379237753e+01,1.287386532556827882e-11
3.216021602160215593e+02,3.216021602160215593e+02,1.238403840384038546e+01,1.238403840384038546e+01,1.288446757741427176e-11
3.218721872187218764e+02,3.218721872187218764e+02,1.238883888388838805e+01,1.238883888388838805e+01,1.289506982926025986e-11
3.221422142214221367e+02,3.221422142214221367e+02,1.239363936393639243e+01,1.239363936393639243e+01,1.290567208110625442e-11
3.224122412241223969e+02,3.224122412241223969e+02,1.239843984398439858e+01,1.239843984398439858e+01,1.291627433295224251e-11
3.226822682268226572e+02,3.226822682268226572e+02,1.240324032403240118e+01,1.240324032403240118e+01,1.292687658479822738e-11
3.229522952295229175e+02,3.229522952295229175e+02,1.240804080408040733e+01,1.240804080408040733e+01,1.293747883664422194e-11
3.232223222322232346e+02,3.232223222322232346e+02,1.241284128412841348e+01,1.241284128412841348e+01,1.294808108849021003e-11
3.234923492349234948e+02,3.234923492349234948e+02,1.241764176417641607e+01,1.241764176417641607e+01,1.295868334033619813e-11
3.237623762376237551e+02,3.237623762376237551e+02,1.242244224422442223e+01,1.242244224422442223e+01,1.296928559218219107e-11
3.240324032403240153e+02,3.240324032403240153e+02,1.242724272427242482e+01,1.242724272427242482e+01,1.297988784402817917e-11
3.243024302430242756e+02,3.243024302430242756e+02,1.243204320432043097e+01,1.243204320432043097e+01,1.299049009587417050e-11
3.245724572457245927e+02,3.245724572457245927e+02,1.243684368436843712e+01,1.243684368436843712e+01,1.300109234772016183e-11
3.248424842484248529e+02,3.248424842484248529e+02,1.244164416441644150e+01,1.244164416441644150e+01,1.301169459956614992e-11
3.251125112511251132e+02,3.251125112511251132e+02,1.244644464446444765e+01,1.244644464446444765e+01,1.302229685141213963e-11
3.253825382538253734e+02,3.253825382538253734e+02,1.245124512451244847e+01,1.245124512451244847e+01,1.303289910325812773e-11
